Offense_Description,Report_Date,Full_Address
Theft,12-Nov-15,1711 DELONEY ST                                                                                     Austin TX 78721
Theft: Auto Theft,27-May-15,4011 MC KINNEY FALLS PKWY                                                                           Austin TX 78744
Theft,7-Dec-15,5201 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,12-Feb-15,12611 RESEARCH BLVD SVRD NB                                                                         Austin TX 78727
Theft,21-May-15,6900 BRODIE LN                                                                                      Austin TX 78749
Theft,12-Nov-15,1900 KRAMER LN                                                                                      Austin TX 78758
Agg Assault,7-Aug-15,214 E ANDERSON LN SVRD WB                                                                           Austin TX 78753
Theft,24-Aug-15,8114 GEORGIAN DR                                                                                    Austin TX 78753
Theft,28-Sep-15,14005 N US 183 HWY SVRD NB                                                                          Austin TX 78717
Burglary,7-Jul-15,6706 MIRA LOMA LN                                                                                   Austin TX 78723
Theft,27-Jun-15,5002 WEST WIND TRL                                                                                  Austin TX 78745
Agg Assault,17-Jan-15,811 W SLAUGHTER LN                                                                                  Austin TX 78748
Theft,8-Mar-15,1822 RUTLAND DR                                                                                     Austin TX 78758
Burglary,20-Oct-15,501 E STASSNEY LN                                                                                   Austin TX 78745
Theft,30-Jun-15,3421 AUTUMN BAY DR                                                                                  Austin TX 78744
Theft,25-May-15,4501 GUADALUPE ST                                                                                   Austin TX 78751
Agg Assault,25-Sep-15,1300 CROSSING PL                                                                                    Austin TX 78741
Theft,11-Dec-15,2201 DENTON DR                                                                                      Austin TX 78758
Theft,12-May-15,6800 S IH 35 SVRD NB                                                                                Austin TX 78744
Burglary,27-Jun-15,1144 AIRPORT BLVD                                                                                   Austin TX 78702
Agg Assault,9-Oct-15,11806 N LAMAR BLVD                                                                                  Austin TX 78758
Theft,23-Mar-15,13309 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,21-Apr-15,1156 W CESAR CHAVEZ ST                                                                              Austin TX 78703
Theft,8-May-15,1802 NORTHWOOD RD                                                                                   Austin TX 78703
Theft,29-Dec-15,2223 WATERLOO CITY LN                                                                               Austin TX 78741
Theft,19-Sep-15,5212 MARTIN AVE                                                                                     Austin TX 78751
Burglary,2-Dec-15,7708 RUTGERS AVE                                                                                    Austin TX 78757
Theft,6-May-15,1500 RUTLAND DR                                                                                     Austin TX 78758
Theft,12-May-15,6010 E RIVERSIDE DR                                                                                 Austin TX 78741
Burglary,9-Apr-15,7703 MEADOWVIEW LN                                                                                  Austin TX 78752
Theft,15-Oct-15,6500 SPRINGDALE RD                                                                                  Austin TX 78723
Theft,23-Jun-15,313 E 6TH ST                                                                                        Austin TX 78701
Agg Assault,12-Apr-15,3200 S 1ST ST                                                                                       Austin TX 78704
Theft,27-Feb-15,6405 S IH 35 SVRD NB                                                                                Austin TX 78744
Theft,27-May-15,2512 PEARL ST                                                                                       Austin TX 78705
Theft,21-Jun-15,500 E STASSNEY LN                                                                                   Austin TX 78745
Theft,17-Nov-15,7537 REDRICK DR                                                                                     Austin TX 78747
Theft,2-May-15,801 E WILLIAM CANNON DR                                                                             Austin TX 78745
Burglary,6-Jul-15,12209 LITTLE FATIMA LN                                                                              Austin TX 78723
Robbery,5-Dec-15,9200 NORTH PLZ                                                                                      Austin TX 78753
Theft,22-Mar-15,2313 BLUE MEADOW DR                                                                                 Austin TX 78744
Theft,2-Feb-15,810 E SLAUGHTER LN                                                                                  Austin TX 78744
Theft,22-Nov-15,505 W 22ND ST                                                                                       Austin TX 78705
Theft,21-Aug-15,810 E SLAUGHTER LN                                                                                  Austin TX 78744
Theft,3-Nov-15,9433 PARKFIELD DR                                                                                   Austin TX 78758
Theft,10-Jan-15,4416 WALSALL LOOP                                                                                   Austin TX 78749
Theft,26-Apr-15,5738 MANCHACA RD                                                                                    Austin TX 78745
Theft,12-Oct-15,510 RIO GRANDE ST                                                                                   Austin TX 78701
Theft,17-Mar-15,909 E KOENIG LN SVRD EB                                                                             Austin TX 78751
Theft,21-Mar-15,201 W 5TH ST                                                                                        Austin TX 78701
Theft,16-Feb-15,1000 E 41ST ST                                                                                      Austin TX 78751
Theft,16-Mar-15,13641 N IH 35 SVRD NB                                                                               Austin TX 78753
Burglary,15-Nov-15,4424 GAINES RANCH LOOP                                                                              Austin TX 78735
Theft,11-Oct-15,4006 GREYSTONE DR                                                                                   Austin TX 78731
Theft,23-Jan-15,710 E BEN WHITE BLVD EB                                                                             Austin TX 78745
Theft,16-May-15,300 W 6TH ST                                                                                        Austin TX 78701
Theft,22-May-15,2601 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Theft,5-Oct-15,2216 STRATFORD DR                                                                                   Austin TX 78746
Theft,31-Oct-15,4600 SETON CENTER PKWY                                                                              Austin TX 78759
Theft,13-Apr-15,MANOR RD / ROGGE LN                                                                                 Austin TX 78723
Theft,1-Dec-15,8885 RESEARCH BLVD SVRD NB                                                                          Austin TX 78758
Burglary,2-Sep-15,217 W 4TH ST                                                                                        Austin TX 78701
Theft,13-Sep-15,CONGRESS AVE / E 6TH ST                                                                             Austin TX 78701
Theft,16-Sep-15,2222 E OLTORF ST                                                                                    Austin TX 78741
Theft,31-Mar-15,710 E BEN WHITE BLVD WB                                                                             Austin TX 78704
Theft,26-Apr-15,3605 STECK AVE                                                                                      Austin TX 78759
Theft,21-Apr-15,W 2ND ST / CONGRESS AVE                                                                             Austin TX 78701
Theft,6-Feb-15,525 N LAMAR BLVD                                                                                    Austin TX 78703
Theft,14-Jan-15,500 E ANDERSON LN SVRD WB                                                                           Austin TX 78753
Burglary,3-Nov-15,510 KREBS LN                                                                                        Austin TX 78704
Theft,1-Sep-15,2303 MANANA ST                                                                                      Austin TX 78730
Theft,19-Jul-15,305 E 52ND ST                                                                                       Austin TX 78751
Robbery,10-May-15,1600 TINNIN FORD RD                                                                                 Austin TX 78741
Theft,10-Feb-15,2525 W ANDERSON LN                                                                                  Austin TX 78757
Theft,9-Jul-15,5526 N IH 35 SVRD SB                                                                                Austin TX 78751
Burglary,18-May-15,100 RAMBLE LN                                                                                       Austin TX 78745
Theft,6-Oct-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft,21-Jul-15,1005 HOLLYBLUFF ST                                                                                  Austin TX 78753
Theft,29-May-15,3220 DUVAL RD                                                                                       Austin TX 78759
Burglary,23-Dec-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Burglary,12-Apr-15,1834 FERGUSON LN                                                                                    Austin TX 78754
Theft,30-Sep-15,11529 VIRIDIAN WAY                                                                                  Austin TX 78739
Theft,15-Dec-15,9300 S IH 35 SVRD NB                                                                                Austin TX 78744
Theft,15-Aug-15,500 NAVASOTA ST                                                                                     Austin TX 78702
Theft,1-Oct-15,3215 OAKMONT BLVD                                                                                   Austin TX 78703
Burglary,30-Jul-15,1804 HASKELL ST                                                                                     Austin TX 78702
Theft,27-Dec-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft,29-Mar-15,6916 WENTWORTH DR                                                                                   Austin TX 78724
Burglary,13-Nov-15,12732 PICKET ROPE LN                                                                                Austin TX 78727
Theft,13-May-15,3801 S LAMAR BLVD NB                                                                                Austin TX 78704
Theft,25-Mar-15,2101 BURTON DR                                                                                      Austin TX 78741
Theft,4-Apr-15,1900 E OLTORF ST                                                                                    Austin TX 78741
Theft,15-Dec-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft,19-Aug-15,131 RALPH ABLANEDO DR                                                                               Austin TX 78748
Theft,30-Aug-15,8600 N LAMAR BLVD                                                                                   Austin TX 78758
Theft,1-Dec-15,800 W 5TH ST                                                                                        Austin TX 78703
Theft: Auto Theft,18-May-15,1213 BRIARGATE DR                                                                                   Austin TX 78753
Theft,25-Jun-15,1814 GUADALUPE ST                                                                                   Austin TX 78701
Theft,7-Aug-15,4000 RED RIVER ST                                                                                   Austin TX 78751
Burglary,30-Nov-15,401 LITTLE TEXAS LN                                                                                 Austin TX 78745
Burglary,7-Sep-15,1004 WEST AVE                                                                                       Austin TX 78701
Theft,19-May-15,2408 COLLINS ST                                                                                     Austin TX 78745
Theft,7-Mar-15,5401 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft,29-Dec-15,3311 ESPERANZA XING                                                                                 Austin TX 78758
Theft,24-Apr-15,810 E SLAUGHTER LN                                                                                  Austin TX 78744
Burglary,19-Nov-15,9203 QUAIL FIELD DR                                                                                 Austin TX 78758
Theft,6-Jan-15,5400 FREIDRICH LN                                                                                   Austin TX 78744
Theft,1-Jul-15,MONTOPOLIS DR / E RIVERSIDE DR                                                                      Austin TX 78741
Theft,1-Nov-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft,3-Aug-15,5000 SPRINGDALE RD                                                                                  Austin TX 78723
Theft,4-Apr-15,2308 WICKERSHAM LN                                                                                  Austin TX 78741
Theft,22-Aug-15,6200 LOYOLA LN                                                                                      Austin TX 78724
Burglary,4-Nov-15,1900 BURTON DR                                                                                      Austin TX 78741
Theft,14-Dec-15,6026 TRIBUTARY RIDGE DR                                                                             Austin TX 78759
Theft,15-Sep-15,12900 N IH 35 SVRD SB                                                                               Austin TX 78753
Theft,6-Jan-15,417 E 6TH ST                                                                                        Austin TX 78701
Theft,21-Dec-15,2308 W CYPRESS PT                                                                                   Austin TX 78746
Burglary,4-Nov-15,11805 BARRINGTON WAY                                                                                Austin TX 78759
Theft: Auto Theft,21-Jul-15,10001 S 1ST ST                                                                                      Austin TX 78748
Theft,25-Sep-15,9012 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
Theft,26-Jul-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft,17-Dec-15,6903 SHADYWOOD DR                                                                                   Austin TX 78745
Theft,7-Oct-15,WESTHEIMER DR / CAMERON RD                                                                          Austin TX 78752
Theft,25-May-15,525 N LAMAR BLVD                                                                                    Austin TX 78703
Theft,10-May-15,713 CONGRESS AVE                                                                                    Austin TX 78701
Theft,23-Oct-15,1000 E 41ST ST                                                                                      Austin TX 78751
Theft,20-Aug-15,3300 PARKER LN                                                                                      Austin TX 78741
Theft,20-Jun-15,2707 CROWNSPOINT DR                                                                                 Austin TX 78748
Burglary,27-Sep-15,2222 PEARL ST                                                                                       Austin TX 78705
Burglary,2-Feb-15,6041 SIGNAL PT                                                                                      Austin TX 78724
Theft,2-Feb-15,10812 S IH 35 SVRD SB                                                                               Austin TX 78748
Theft,11-Dec-15,1704 NELMS DR                                                                                       Austin TX 78744
Theft,7-Oct-15,1609 MOHLE DR                                                                                       Austin TX 78703
Theft,5-Nov-15,1824 S IH 35 SVRD SB                                                                                Austin TX 78704
Theft,12-Jul-15,3900 ETON LN                                                                                        Austin TX 78727
Theft,9-Nov-15,12000 DESSAU RD                                                                                     Austin TX 78753
Theft,4-Oct-15,1500 REAGAN HILL DR                                                                                 Austin TX 78752
Theft,5-Jul-15,12316 WILLOW BEND DR                                                                                Austin TX 78758
Agg Assault,27-Mar-15,4814 CANDLETREE LN                                                                                  Austin TX 78744
Theft,7-Aug-15,8104 ELKHORN MOUNTAIN TRL                                                                           Austin TX 78729
Theft,5-Jun-15,3412 HAPPY HOLLOW LN                                                                                Austin TX 78703
Theft,25-Apr-15,12112 ROXIE DR                                                                                      Austin TX 78729
Theft,24-Jan-15,9617 GREAT HILLS TRL                                                                                Austin TX 78759
Theft,17-Aug-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft,5-Mar-15,12151 HUNTERS CHASE DR                                                                              Austin TX 78729
Theft,23-Sep-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Burglary,12-Nov-15,1153 POQUITO ST                                                                                     Austin TX 78702
Agg Assault,4-Sep-15,8805 NORTH PLZ                                                                                      Austin TX 78753
Theft,3-Jan-15,500 E 7TH ST                                                                                        Austin TX 78701
Burglary,23-Jun-15,2323 THORNWILD PASS                                                                                 Austin TX 78758
Theft,15-Sep-15,7 OLMOS DR                                                                                          Austin TX 78744
Theft,5-Mar-15,5345 N IH 35 SVRD NB                                                                                Austin TX 78723
Theft,22-Aug-15,7418 CAMERON RD                                                                                     Austin TX 78752
Theft,31-Aug-15,1105 N IH 35 SVRD NB                                                                                Austin TX 78702
Theft,17-Mar-15,1201 BARBARA JORDAN BLVD                                                                            Austin TX 78723
Theft,7-Aug-15,2500 E RIVERSIDE DR                                                                                 Austin TX 78741
Robbery,12-Dec-15,18 MARGRANITA CRES                                                                                  Austin TX 78703
Theft,14-May-15,710 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
Theft,26-Mar-15,1012 BAYLOR ST                                                                                      Austin TX 78703
Theft,21-Jul-15,3834 AIRPORT BLVD                                                                                   Austin TX 78722
Theft,11-Nov-15,10207 LAKE CREEK PKWY                                                                               Austin TX 78729
Theft,19-Dec-15,4701 E MARTIN LUTHER KING JR BLVD                                                                   Austin TX 78721
Theft: Auto Theft,26-Sep-15,8805 NORTH PLZ                                                                                      Austin TX 78753
Theft,21-Dec-15,5300 S MOPAC EXPY SVRD SB                                                                           Austin TX 78749
Theft,18-Jun-15,10402 GOLDEN QUAIL DR                                                                               Austin TX 78758
Theft,21-Apr-15,4600 MUELLER BLVD                                                                                   Austin TX 78723
Robbery,19-Sep-15,1840 BURTON DR                                                                                      Austin TX 78741
Theft,17-May-15,6500 NEEDHAM LN                                                                                     Austin TX 78739
Burglary,16-May-15,1124 RUTLAND DR                                                                                     Austin TX 78758
Theft,16-Sep-15,2300 W BEN WHITE BLVD SVRD WB                                                                       Austin TX 78704
Burglary,18-May-15,700 NORTH BLUFF DR                                                                                  Austin TX 78745
Theft,14-Jul-15,4411 SPICEWOOD SPRINGS RD                                                                           Austin TX 78731
Burglary,20-Apr-15,4024 BERKMAN DR                                                                                     Austin TX 78723
Theft,8-Jun-15,9520 SPECTRUM DR                                                                                    Austin TX 78717
Burglary,9-Dec-15,12435 DESSAU RD                                                                                     Austin TX 78754
Theft,13-Oct-15,2606 WHELESS LN                                                                                     Austin TX 78723
Theft,9-Apr-15,1026 CLAYTON LN                                                                                     Austin TX 78723
Theft: Auto Theft,29-May-15,2207 TRAILSIDE DR                                                                                   Austin TX 78704
Theft,10-Oct-15,3300 KIM LN                                                                                         Austin TX 78705
Theft,3-Mar-15,56 EAST AVE                                                                                         Austin TX 78701
Theft,6-Jan-15,2301 OHLEN RD                                                                                       Austin TX 78757
Theft,14-Apr-15,1000 E 41ST ST                                                                                      Austin TX 78751
Theft: Auto Theft,22-Feb-15,9500 BLOCK N CAPITAL OF TEXAS HWY                                                                   Austin TX 78759
Theft,29-May-15,4510 W GUADALUPE ST                                                                                 Austin TX 78751
Theft,15-Sep-15,2090 WOODWARD ST                                                                                    Austin TX 78744
Theft,4-Jul-15,E CESAR CHAVEZ ST / CHALMERS AVE                                                                    Austin TX 78702
Theft,23-Apr-15,4600 NUCKOLS CROSSING RD                                                                            Austin TX 78744
Theft,4-Apr-15,7104 GENTLE OAK DR                                                                                  Austin TX 78749
Theft,13-Nov-15,4609 TERI RD                                                                                        Austin TX 78744
Theft,7-Aug-15,1101 GROVE BLVD                                                                                     Austin TX 78741
Theft,27-Sep-15,7715 E BEN WHITE BLVD EB                                                                            Austin TX 78744
Theft,22-Sep-15,8311 RESEARCH BLVD NB                                                                               Austin TX 78758
Theft,19-Mar-15,8517 N CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78759
Theft,28-Nov-15,11350 FOUR POINTS DR                                                                                Austin TX 78726
Theft,26-Sep-15,13408 COOMES DR                                                                                     Austin TX 78617
Theft,14-Jul-15,7301 DANWOOD DR                                                                                     Austin TX 78759
Theft,13-Jan-15,1000 W 26TH ST                                                                                      Austin TX 78705
Theft,21-Nov-15,412 CONGRESS AVE                                                                                    Austin TX 78701
Theft: Auto Theft,23-Feb-15,700 NECHES ST                                                                                       Austin TX 78701
Burglary,26-Jan-15,9400 W PARMER LN                                                                                    Austin TX 78717
Theft,20-Jul-15,2320 GRACY FARMS LN                                                                                 Austin TX 78758
Theft,4-Oct-15,2300 W BEN WHITE BLVD EB                                                                            Austin TX 78745
Theft,10-Nov-15,12601 BLACK HILLS DR                                                                                Austin TX 78739
Burglary,22-Apr-15,3201 DUVAL RD                                                                                       Austin TX 78759
Theft,20-Apr-15,1000 E 41ST ST                                                                                      Austin TX 78751
Theft,20-Apr-15,7555 FIREOAK DR                                                                                     Austin TX 78759
Theft,22-Sep-15,801 E WILLIAM CANNON DR                                                                             Austin TX 78745
Theft,8-Jun-15,11282 TAYLOR DRAPER LN                                                                              Austin TX 78759
Theft,5-Mar-15,1704 NELMS DR                                                                                       Austin TX 78744
Theft,8-Sep-15,6515 S IH 35 SVRD NB                                                                                Austin TX 78744
Theft,25-Feb-15,710 E BEN WHITE BLVD WB                                                                             Austin TX 78704
Theft,3-Sep-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft,30-Jun-15,11300 N LAMAR BLVD                                                                                  Austin TX 78758
Burglary,8-Dec-15,8225 N FM 620 RD                                                                                    Austin TX 78726
Robbery,16-Apr-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft,4-Mar-15,1500 ROYAL CREST DR                                                                                 Austin TX 78741
Theft,8-Jan-15,2222 RIO GRANDE ST                                                                                  Austin TX 78705
Theft,19-Jan-15,12424 RESEARCH BLVD SB                                                                              Austin TX 78759
Theft,2-Apr-15,1800 E STASSNEY LN                                                                                  Austin TX 78744
Theft,19-Sep-15,7316 CAMERON RD                                                                                     Austin TX 78752
Theft,23-Jul-15,9300 S IH 35 SVRD NB                                                                                Austin TX 78744
Theft,10-Aug-15,4477 S LAMAR BLVD SVRD NB                                                                           Austin TX 78745
Theft,23-Mar-15,3510 OAK SPRINGS DR                                                                                 Austin TX 78721
Theft,8-Jul-15,7017 ESTANA LN                                                                                      Austin TX 78739
Theft,17-Dec-15,2620 LAKE AUSTIN BLVD                                                                               Austin TX 78703
Theft,14-Aug-15,7313 DAN JEAN DR                                                                                    Austin TX 78745
Robbery,4-Nov-15,3637 FAR WEST BLVD                                                                                  Austin TX 78731
Theft,25-Apr-15,1601 MONTOPOLIS DR                                                                                  Austin TX 78741
Theft,2-Jan-15,6518 PEVENSEY DR                                                                                    Austin TX 78745
Theft,25-Nov-15,1105 N IH 35 SVRD NB                                                                                Austin TX 78702
Theft,26-Aug-15,501 E 8TH ST                                                                                        Austin TX 78701
Theft,28-Sep-15,12520 N IH 35 SVRD SB                                                                               Austin TX 78753
Burglary,19-Dec-15,6403 SANTOS ST                                                                                      Austin TX 78741
Burglary,12-Jan-15,1901 E ANDERSON LN SVRD EB                                                                          Austin TX 78752
Theft,8-Jul-15,7500 EVENING SKY CIR                                                                                Austin TX 78735
Theft,10-Nov-15,3709 PROMONTORY POINT DR                                                                            Austin TX 78744
Theft,3-Oct-15,1813 FRIARS TALE LN                                                                                 Austin TX 78748
Burglary,5-Oct-15,8300 COLONY LOOP DR                                                                                 Austin TX 78724
Theft,26-Jun-15,100 E POWELL LN                                                                                     Austin TX 78753
Theft,13-Dec-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,13-May-15,1808 E CESAR CHAVEZ ST                                                                              Austin TX 78702
Theft,18-Feb-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,14-May-15,1012 BAYLOR ST                                                                                      Austin TX 78703
Theft,18-Dec-15,2409 TOWN LAKE CIR                                                                                  Austin TX 78741
Theft,14-Feb-15,11900 STONEHOLLOW DR                                                                                Austin TX 78758
Theft,31-Aug-15,8929 WILEY WAY                                                                                      Austin TX 78747
Theft,21-Dec-15,4501 W BRAKER LN                                                                                    Austin TX 78759
Theft,13-Jul-15,1701 BRIARCLIFF BLVD                                                                                Austin TX 78723
Theft,17-Mar-15,12138 N LAMAR BLVD                                                                                  Austin TX 78758
Theft: Auto Theft,25-Jan-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Agg Assault,25-Aug-15,2623 W BRAKER LN                                                                                    Austin TX 78758
Theft,26-May-15,8900 N LAMAR BLVD                                                                                   Austin TX 78758
Theft,19-Aug-15,7103 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,26-Jul-15,E 6TH ST / CONGRESS AVE                                                                             Austin TX 78701
Burglary,7-Sep-15,8060 THAXTON RD                                                                                     Austin TX 78747
Theft,30-Apr-15,4900 MUELLER BLVD                                                                                   Austin TX 78723
Theft,17-Nov-15,4630 S LAMAR BLVD SB                                                                                Austin TX 78735
Theft,24-Mar-15,4800 COPPERBEND BLVD                                                                                Austin TX 78744
Burglary,11-Dec-15,5526 N IH 35 SVRD SB                                                                                Austin TX 78751
Theft,23-Jul-15,FM 1327 RD / S IH 35 SVRD SB                                                                        Austin TX 78747
Theft: Auto Theft,10-May-15,8220 RESEARCH BLVD NB                                                                               Austin TX 78758
Agg Assault,29-Mar-15,1712 PINE KNOLL DR                                                                                  Austin TX 78758
Theft,12-Aug-15,1300 E RIVERSIDE DR                                                                                 Austin TX 78741
Burglary,11-Dec-15,1221 S CONGRESS AVE                                                                                 Austin TX 78704
Theft,14-Aug-15,12625 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,27-Jun-15,8515 DRYFIELD DR                                                                                    Austin TX 78758
Theft,18-Dec-15,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft,23-Nov-15,6101 AIRPORT BLVD                                                                                   Austin TX 78752
Theft: Auto Theft,8-Feb-15,2310 E 2ND ST                                                                                       Austin TX 78702
Theft,23-Nov-15,5004 HEDGEWOOD DR                                                                                   Austin TX 78745
Theft: Auto Theft,9-Apr-15,629 W BEN WHITE BLVD EB                                                                             Austin TX 78745
Burglary,27-Jan-15,3405 SAND DUNES AVE                                                                                 Austin TX 78744
Theft,28-Apr-15,1601 MONTOPOLIS DR                                                                                  Austin TX 78741
Theft,2-Feb-15,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft: Auto Theft,23-Apr-15,2505 LONGVIEW ST                                                                                    Austin TX 78705
Theft,24-Jun-15,200 CONGRESS AVE                                                                                    Austin TX 78701
Theft,4-Nov-15,10100 HIBISCUS CV                                                                                   Austin TX 78739
Burglary,27-Aug-15,5310 DUVAL RD                                                                                       Austin TX 78727
Theft,11-Jan-15,12351 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,19-Nov-15,10526 W PARMER LN                                                                                   Austin TX 78717
Theft,28-May-15,8902 WILDRIDGE DR                                                                                   Austin TX 78759
Theft,13-Apr-15,900 BLOCK W 26TH ST                                                                                 Austin TX 78705
Theft,2-Oct-15,1520 RUTHERFORD LN                                                                                  Austin TX 78754
Theft: Auto Theft,21-Aug-15,3710 AIRPORT BLVD                                                                                   Austin TX 78722
Burglary,14-Feb-15,8609 S 1ST ST                                                                                       Austin TX 78748
Theft,29-Apr-15,500 E 7TH ST                                                                                        Austin TX 78701
Robbery,12-Dec-15,E 7TH ST / NECHES ST                                                                                Austin TX 78701
Theft,26-Oct-15,4405 E RIVERSIDE DR                                                                                 Austin TX 78741
Burglary,20-Nov-15,3723 MUNSON ST                                                                                      Austin TX 78721
Burglary,21-Sep-15,1409 BROADMOOR DR                                                                                   Austin TX 78723
Theft,2-Aug-15,4701 STAGGERBRUSH RD                                                                                Austin TX 78749
Theft,25-Oct-15,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Agg Assault,15-Jun-15,7303 BUCKNELL DR                                                                                    Austin TX 78723
Theft,2-Mar-15,9001 N FM 620 RD                                                                                    Austin TX 78726
Theft,25-Jun-15,601 E 15TH ST                                                                                       Austin TX 78701
Theft,31-Jan-15,1014 N LAMAR BLVD                                                                                   Austin TX 78703
Theft,6-Feb-15,13466 N US 183 HWY SVRD SB                                                                          Austin TX 78750
Burglary,1-Aug-15,1612 HOLLY ST                                                                                       Austin TX 78702
Theft,16-Mar-15,1144 SALINA ST                                                                                      Austin TX 78702
Theft,4-Jul-15,1700 BRIARCLIFF BLVD                                                                                Austin TX 78723
Theft,29-Oct-15,5020 MANOR RD                                                                                       Austin TX 78723
Theft,5-Feb-15,8107 RESEARCH BLVD SVRD NB                                                                          Austin TX 78758
Theft,27-Jul-15,2201 BARTON SPRINGS RD                                                                              Austin TX 78704
Theft,19-May-15,201 W BEN WHITE BLVD EB                                                                             Austin TX 78745
Theft,2-Feb-15,10515 N MOPAC EXPY NB                                                                               Austin TX 78758
Theft,9-May-15,3600 GREYSTONE DR                                                                                   Austin TX 78731
Theft,11-Mar-15,12151 N IH 35 NB                                                                                    Austin TX 78753
Burglary,29-Sep-15,4404 E OLTORF ST                                                                                    Austin TX 78741
Theft,12-May-15,1601 MONTOPOLIS DR                                                                                  Austin TX 78741
Theft,21-Jul-15,11300 N LAMAR BLVD                                                                                  Austin TX 78758
Burglary,29-Sep-15,5300 JIMMY CLAY DR                                                                                  Austin TX 78744
Burglary,13-Dec-15,8201 N LAMAR BLVD                                                                                   Austin TX 78753
Theft,3-Jul-15,1103 W 24TH ST                                                                                      Austin TX 78705
Theft,31-Aug-15,1710 E OLTORF ST                                                                                    Austin TX 78741
Theft,11-Jan-15,5701 SAM HOUSTON CIR                                                                                Austin TX 78731
Burglary,23-Nov-15,8965 RESEARCH BLVD SVRD NB                                                                          Austin TX 78758
Theft: Auto Theft,10-Dec-15,4309 EMMA BROWNING AVE                                                                              Austin TX 78719
Theft,10-Apr-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,3-Apr-15,4509 E ST ELMO RD                                                                                   Austin TX 78744
Theft,8-Nov-15,8906 ROCKCREST DR                                                                                   Austin TX 78759
Theft,21-Jul-15,11300 POLLYANNA AVE                                                                                 Austin TX 78753
Burglary,15-Mar-15,9102 QUAIL CREEK DR                                                                                 Austin TX 78758
Agg Assault,28-Mar-15,6726 LANCRET HILL DR                                                                                Austin TX 78745
Theft,13-Aug-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: Auto Theft,30-Dec-15,11215 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Theft,7-Nov-15,1400 COMAL ST                                                                                       Austin TX 78702
Theft,4-Jul-15,1601 WILLOW CREEK DR                                                                                Austin TX 78741
Theft,26-May-15,505 NECHES ST                                                                                       Austin TX 78701
Theft,2-Apr-15,5017 W US 290 HWY SVRD EB                                                                           Austin TX 78749
Theft,28-May-15,5832 PINON VISTA DR                                                                                 Austin TX 78724
Theft,5-Jan-15,5414 AVENUE H                                                                                       Austin TX 78751
Theft,1-Dec-15,1115 W 10TH ST                                                                                      Austin TX 78703
Theft,4-Aug-15,6404 JENNINGS DR                                                                                    Austin TX 78727
Theft,12-Dec-15,5716 BURNET RD                                                                                      Austin TX 78756
Robbery,3-Jul-15,6700 MIDDLE FISKVILLE RD                                                                            Austin TX 78752
Theft: Auto Theft,14-Nov-15,9345 E US 290 HWY EB                                                                                Austin TX 78724
Theft,14-Jul-15,614 S 1ST ST                                                                                        Austin TX 78704
Theft,20-Jan-15,2101 S LAMAR BLVD                                                                                   Austin TX 78704
Theft,21-Sep-15,8309 EMPRESS BLVD                                                                                   Austin TX 78745
