Offense_Description,Report_Date,Full_Address
Theft: BOV,04/09/2014 12:00:00 AM,820 BLACKSON AVE                                                                                    Austin TX 78752
Aggravated Assault,08/24/2014 12:00:00 AM,8311 COLONY LOOP DR                                                                                 Austin TX 78724
Theft: BOV,03/04/2014 12:00:00 AM,7224 NORTHEAST DR                                                                                   Austin TX 78723
Theft: BOV,10/05/2014 12:00:00 AM,1658 RUTLAND DR                                                                                     Austin TX 78758
Theft: All Other Larceny,08/04/2014 12:00:00 AM,4220 W WILLIAM CANNON DR                                                                            Austin TX 78749
Theft: Shoplifting,11/04/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft: BOV,11/15/2014 12:00:00 AM,5516 MONTVIEW ST                                                                                    Austin TX 78756
Theft: All Other Larceny,02/26/2014 12:00:00 AM,4614 TURNSTONE DR                                                                                   Austin TX 78744
Theft: BOV,02/20/2014 12:00:00 AM,802 THERESA AVE                                                                                     Austin TX 78703
Theft: BOV,04/13/2014 12:00:00 AM,1808 FAIRLAWN LN                                                                                    Austin TX 78704
Theft: BOV,03/10/2014 12:00:00 AM,6835 AUSTIN CENTER BLVD                                                                             Austin TX 78731
Theft: Shoplifting,03/23/2014 12:00:00 AM,12901 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft: BOV,11/11/2014 12:00:00 AM,5900 JAIN LN                                                                                        Austin TX 78721
Theft: BOV,08/17/2014 12:00:00 AM,10000 RESEARCH BLVD NB                                                                              Austin TX 78759
Theft: BOV,12/22/2014 12:00:00 AM,9701 METRIC BLVD                                                                                    Austin TX 78758
Burglary: Breaking & Entering,08/07/2014 12:00:00 AM,3628 MANCHACA RD                                                                                    Austin TX 78704
Theft: Auto Theft,04/13/2014 12:00:00 AM,20 N IH 35 SVRD SB                                                                                  Austin TX 78701
Theft: Shoplifting,10/27/2014 12:00:00 AM,6800 BERKMAN DR                                                                                     Austin TX 78723
Theft: All Other Larceny,04/30/2014 12:00:00 AM,4509 E ST ELMO RD                                                                                   Austin TX 78744
Theft: BOV,03/29/2014 12:00:00 AM,3218 MANOR RD                                                                                       Austin TX 78723
Theft: Shoplifting,08/30/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: All Other Larceny,06/01/2014 12:00:00 AM,12351 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft: All Other Larceny,07/10/2014 12:00:00 AM,1901 W WILLIAM CANNON DR                                                                            Austin TX 78745
Theft: BOV,11/06/2014 12:00:00 AM,10104 ROCKING HORSE RD                                                                              Austin TX 78748
Theft: BOV,02/10/2014 12:00:00 AM,5921 LITTLE CREEK TRL                                                                               Austin TX 78744
Theft: All Other Larceny,06/16/2014 12:00:00 AM,1803 NORTHRIDGE DR                                                                                  Austin TX 78723
Theft: BOV,12/04/2014 12:00:00 AM,900 W 23RD ST                                                                                       Austin TX 78705
Theft: BOV,05/24/2014 12:00:00 AM,5230 THUNDER CREEK RD                                                                               Austin TX 78759
Theft: All Other Larceny,06/05/2014 12:00:00 AM,3104 ALICE AVE                                                                                      Austin TX 78617
Theft: All Other Larceny,10/17/2014 12:00:00 AM,505 BLACKSON AVE                                                                                    Austin TX 78752
Burglary: Breaking & Entering,03/11/2014 12:00:00 AM,8700 PRIMROSE LN                                                                                    Austin TX 78757
Theft: BOV,01/31/2014 12:00:00 AM,2328 HARTFORD RD                                                                                    Austin TX 78703
Theft: All Other Larceny,01/14/2014 12:00:00 AM,5910 JOHNNY MORRIS RD                                                                               Austin TX 78724
Theft: All Other Larceny,06/16/2014 12:00:00 AM,2602 GUADALUPE ST                                                                                   Austin TX 78705
Theft: All Other Larceny,11/01/2014 12:00:00 AM,1135 AIRPORT BLVD                                                                                   Austin TX 78721
Burglary: Breaking & Entering,09/24/2014 12:00:00 AM,4301 WESTBANK DR                                                                                    Austin TX 78746
Theft: BOV,08/10/2014 12:00:00 AM,2017 BLUEBONNET LN                                                                                  Austin TX 78704
Theft: BOV,03/18/2014 12:00:00 AM,1111 E 6TH ST                                                                                       Austin TX 78702
Theft: BOV,08/06/2014 12:00:00 AM,1703 HASKELL ST                                                                                     Austin TX 78702
Theft: BOV,05/20/2014 12:00:00 AM,1143 AIRPORT BLVD                                                                                   Austin TX 78721
Theft: All Other Larceny,12/16/2014 12:00:00 AM,710 E BEN WHITE BLVD EB                                                                             Austin TX 78745
Theft: Shoplifting,07/24/2014 12:00:00 AM,2222 E OLTORF ST                                                                                    Austin TX 78741
Theft: Shoplifting,06/18/2014 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
